9	22	34	56	47	21	6	19	61	112	174	154	62	14	16	72	155	235	195	87	25	13	63	138	226	176	94	47	15	77	138	192	182	133	97	17	87	135	124	129	108	80	15	49	67	50	44	39	26
1	1	2	2	1	1	1	1	1	8	11	2	2	4	1	11	48	45	12	9	5	2	56	175	112	25	12	5	2	46	96	72	14	5	2	1	7	12	17	3	2	1	1	1	3	7	1	1	1
1	1	1	4	9	1	1	15	12	4	15	28	2	1	61	61	28	55	64	8	2	50	75	55	130	157	48	16	11	26	33	90	120	88	58	2	4	10	20	32	45	37	1	1	3	4	7	11	6
1	1	2	4	8	4	2	1	2	5	15	30	16	4	2	5	18	91	125	69	11	3	8	32	185	198	140	27	6	13	27	98	104	71	32	12	18	21	63	50	27	20	9	12	12	25	29	15	9
1	2	5	4	4	3	2	5	12	20	21	22	17	9	23	51	70	87	101	89	32	51	113	168	209	216	138	40	43	93	141	174	139	78	24	21	46	53	65	44	28	10	6	19	22	16	11	9	3
1	1	4	6	1	1	1	1	3	16	26	3	3	4	2	5	22	42	10	6	7	7	12	39	73	38	17	6	28	40	84	126	148	74	13	21	27	52	81	140	64	9	4	4	7	12	24	11	2
1	1	1	3	3	1	1	1	2	3	14	14	3	3	4	8	11	74	77	11	4	8	21	35	161	158	29	5	5	15	29	92	89	38	10	2	4	7	18	20	18	14	1	1	2	3	4	5	12
3	3	4	5	4	5	5	8	10	16	35	23	20	16	21	27	53	159	105	71	38	28	37	77	202	191	125	62	23	34	72	134	144	114	105	14	26	39	75	58	52	87	8	13	19	39	30	39	32
1	1	1	2	2	1	1	1	2	6	11	11	5	3	3	8	29	65	74	60	15	7	33	108	177	180	209	69	8	56	158	175	125	163	95	6	45	100	91	42	49	41	6	32	60	41	15	22	19
4	3	2	2	3	3	4	10	8	7	10	13	17	28	11	10	18	38	41	60	86	7	9	29	64	71	97	50	5	9	26	47	90	169	41	5	9	15	28	108	127	59	6	8	10	18	138	91	83
2	2	4	10	20	10	2	8	10	20	44	73	38	9	21	34	57	98	133	79	16	38	54	82	150	164	104	34	23	30	50	163	167	102	60	8	10	15	69	85	45	37	4	3	4	16	18	9	9
1	2	12	26	3	2	1	1	15	84	118	7	3	3	2	34	136	97	13	4	3	2	36	89	85	19	3	2	2	47	67	49	11	2	1	2	29	33	14	3	1	1	1	5	5	2	1	1	1
3	4	9	17	14	8	3	4	8	27	66	61	29	8	5	12	74	164	143	60	16	9	26	124	229	164	74	39	23	55	127	169	139	90	57	26	44	63	65	67	68	48	10	16	16	15	21	29	30
1	1	1	1	1	1	1	3	5	8	11	9	5	3	11	23	47	86	56	31	14	13	33	69	120	136	129	45	4	14	30	54	164	187	59	1	3	6	16	70	83	41	1	1	1	3	12	16	17
4	9	11	13	16	9	2	8	20	37	52	69	47	11	9	30	91	139	175	130	41	10	35	125	199	171	111	68	10	35	98	151	90	66	59	8	23	49	57	30	32	35	5	12	24	18	10	12	16
1	1	2	2	1	1	1	1	2	16	15	1	1	1	2	14	81	54	6	3	3	4	44	192	113	17	6	6	3	27	79	46	9	3	2	1	4	9	6	2	1	1	1	1	1	1	1	1	1
1	1	17	49	27	10	1	1	2	56	156	84	33	2	1	3	68	185	113	51	6	2	6	71	161	100	57	22	3	10	57	90	72	52	35	4	12	33	37	45	42	25	3	8	15	11	14	16	10
1	2	2	6	28	2	1	6	12	9	24	122	5	1	12	34	34	41	78	9	3	8	33	48	51	52	19	13	2	11	32	31	24	28	30	1	2	10	10	9	17	23	1	1	2	2	2	3	6
1	1	1	4	11	6	1	1	1	3	11	45	23	2	2	3	8	28	107	55	10	6	8	17	49	80	53	60	12	22	27	52	44	38	153	15	50	36	35	23	21	91	8	38	19	10	6	6	22
2	1	2	8	3	1	1	13	5	8	79	23	2	1	22	11	21	137	51	5	1	32	41	68	142	72	9	3	28	74	168	225	128	27	9	22	55	82	126	136	56	16	17	30	19	31	81	43	9
1	1	4	29	28	3	1	6	6	16	131	116	8	2	22	32	42	178	139	20	5	46	76	68	140	125	71	15	26	48	55	80	112	172	45	7	12	17	26	57	144	59	3	3	3	6	14	28	18
1	2	9	9	6	2	1	3	8	25	34	53	20	4	4	23	40	71	171	78	24	8	40	55	85	161	105	94	12	45	46	52	71	71	119	9	24	20	21	26	31	50	5	7	8	6	8	10	15
1	1	2	2	1	1	1	2	3	10	9	6	8	4	14	26	61	62	54	70	29	61	139	194	198	125	109	41	53	125	125	137	61	46	21	20	33	27	23	10	11	7	6	7	6	4	2	3	2
2	1	5	14	6	2	1	1	3	18	70	30	7	2	3	10	45	129	63	17	7	7	27	108	173	115	33	9	9	34	131	205	213	58	12	6	28	73	184	186	76	18	3	13	30	94	90	56	12
